No,Date,Type_of_Victim,Number_of_Victims
406,2015,Injured,9
407,2015,Injured,1
408,2015,Injured,5
409,2015,Injured,0
410,2015,Injured,1
411,2015,Injured,2
412,2015,Injured,0
413,2015,Injured,0
414,2015,Injured,1
415,2015,Injured,3
416,2015,Injured,7
417,2015,Injured,1
418,2015,Injured,10
419,2015,Injured,0
420,2015,Injured,0
421,2015,Injured,1
422,2015,Injured,1
423,2015,Injured,4
424,2015,Injured,0
425,2015,Injured,9
426,2015,Injured,1
427,2015,Injured,3
428,2015,Injured,3
429,2015,Injured,4
430,2015,Injured,1
431,2015,Injured,4
432,2015,Injured,1
433,2015,Injured,0
434,2015,Injured,1
435,2015,Injured,2
436,2015,Injured,4
437,2015,Injured,0
438,2015,Injured,3
439,2015,Injured,1
440,2015,Injured,3
441,2015,Injured,6
442,2015,Injured,3
443,2015,Injured,0
444,2015,Injured,3
445,2015,Injured,5
446,2015,Injured,4
447,2015,Injured,0
448,2015,Injured,7
449,2015,Injured,2
450,2015,Injured,5
451,2015,Injured,1
452,2015,Injured,3
453,2015,Injured,0
454,2015,Injured,2
455,2015,Injured,1
456,2015,Injured,0
457,2015,Injured,2
458,2015,Injured,1
459,2015,Injured,0
460,2015,Injured,1
461,2015,Injured,3
462,2015,Injured,2
463,2015,Injured,0
464,2015,Injured,6
465,2015,Injured,0
466,2015,Injured,1
467,2015,Injured,5
468,2015,Injured,1
469,2015,Injured,5
470,2014,Injured,1
471,2014,Injured,0
472,2014,Injured,3
473,2014,Injured,1
474,2014,Injured,3
475,2014,Injured,9
476,2014,Injured,0
477,2014,Injured,2
478,2014,Injured,13
479,2014,Injured,6
480,2014,Injured,12
481,2014,Injured,16
482,2014,Injured,8
483,2014,Injured,2
484,2013,Injured,5
485,2013,Injured,3
486,2013,Injured,2
487,2013,Injured,3
488,2013,Injured,0
489,2013,Injured,4
490,2013,Injured,3
491,2013,Injured,0
492,2013,Injured,3
493,2013,Injured,1
494,2013,Injured,0
495,2013,Injured,2
496,2013,Injured,3
497,2013,Injured,2
498,2013,Injured,1
499,2013,Injured,0
500,2012,Injured,2
